# Image list with one line of data per image:
#   IMAGE_ID, QW, QX, QY, QZ, TX, TY, TZ, CAMERA_ID, NAME
# Number of images: 1646
1 5.37750771758821910e-01 8.43056491628691784e-01 4.82100778824656219e-03 -7.52444545587739252e-03 2.04048260055059161e-02 -6.34125371013341432e-01 3.14329227050105686e+00 5 frame_000004.png

2 5.37039714182240946e-01 8.43510089049355538e-01 4.79928426754133719e-03 -7.48611605070683816e-03 2.16447181418650825e-02 -6.39952247824771336e-01 3.14003298645259488e+00 7 frame_000006.png

3 5.37134388680839847e-01 8.43450142496645849e-01 4.79832021153552956e-03 -7.44860671508069949e-03 2.16319526144825858e-02 -6.39139097731730388e-01 3.13990963846391002e+00 8 frame_000007.png

4 5.37279096833763292e-01 8.43358995786320897e-01 4.73527191494895871e-03 -7.37248476941471196e-03 2.06137700507729171e-02 -6.37229922144272876e-01 3.14019358189426656e+00 9 frame_000008.png

5 5.37269139716755495e-01 8.43366721981301248e-01 4.84409894936352250e-03 -7.13992072091101070e-03 1.98941392900706671e-02 -6.36199486004480841e-01 3.13861327829603232e+00 13 frame_000012.png

6 5.37250672768565307e-01 8.43376711885577057e-01 4.85786448340799759e-03 -7.33741176826582103e-03 1.97416234499847576e-02 -6.36268400771540898e-01 3.13900428504954609e+00 11 frame_000010.png

7 5.37159361036949612e-01 8.43433886782555708e-01 4.83329509350262018e-03 -7.46583791586410191e-03 2.08803288430351452e-02 -6.37615628904514620e-01 3.13921987398062097e+00 10 frame_000009.png

8 5.37652584888558827e-01 8.43121614266598929e-01 4.84439951189196121e-03 -7.22310961460597995e-03 1.89305334665232916e-02 -6.32980647786626993e-01 3.13987042714491560e+00 12 frame_000011.png

9 5.37772209915293509e-01 8.43049381001447773e-01 4.70055557383305175e-03 -6.83346275284321247e-03 3.22459511045448122e-02 -6.32431910113625650e-01 3.14107371542680358e+00 15 frame_000014.png

10 5.37504282599590044e-01 8.43216974923812423e-01 4.89415962015212706e-03 -7.09412355737164182e-03 2.44970421215583989e-02 -6.33899194487079543e-01 3.13964506971745383e+00 14 frame_000013.png

11 5.38194784046788666e-01 8.42776246050224942e-01 4.87487854165635087e-03 -7.12804864778611522e-03 4.92755077389763207e-02 -6.28509839065213183e-01 3.14335254842873280e+00 16 frame_000015.png

12 5.36704607625477448e-01 8.43723803146089302e-01 4.73067911244593950e-03 -7.47855824451954063e-03 1.70515191303158842e-02 -6.43574755756072148e-01 3.14069864432023049e+00 3 frame_000002.png

